10  07  2014	11  00	1.026781E-11 	3.821689E-1  	-8.359384E-9 	6.523033E-3  	2.729061E-12 	1.914663E+0  	-1.041905E-12	9.569352E+0  
10  07  2014	11  05	8.180835E-12 	1.407041E+0  	-8.326978E-9 	6.652422E-3  	3.945485E-12 	1.335797E+0  	-3.045751E-13	2.507430E+1  
10  07  2014	11  10	9.102894E-12 	1.171906E+0  	-8.296201E-9 	2.817475E-3  	3.689689E-12 	1.500854E+0  	-1.780092E-13	5.087901E+1  
10  07  2014	11  15	9.751877E-12 	4.195879E-1  	-8.279185E-9 	2.931915E-3  	1.396686E-12 	7.602700E+0  	3.378927E-13 	1.760444E+1  
10  07  2014	11  20	9.565135E-12 	4.303311E-1  	-8.282281E-9 	3.712308E-3  	3.294644E-12 	2.714859E+0  	-8.269302E-13	1.116692E+1  
10  07  2014	11  25	8.596750E-12 	1.089423E+0  	-8.289407E-9 	2.991827E-3  	1.956129E-12 	7.504623E+0  	-6.008275E-13	1.049415E+1  
10  07  2014	11  30	8.708596E-12 	1.028778E+0  	-8.288295E-9 	3.321874E-3  	9.843884E-13 	1.713051E+1  	8.273418E-13 	5.326826E+0  
10  07  2014	11  35	9.462199E-12 	8.183484E-1  	-8.298489E-9 	2.832692E-3  	2.241656E-12 	6.440217E+0  	-4.315610E-13	1.840304E+1  
10  07  2014	11  40	9.552926E-12 	9.623699E-1  	-8.300559E-9 	2.818288E-3  	3.706992E-12 	1.158533E+0  	1.095129E-12 	4.617530E+0  
10  07  2014	11  45	8.673544E-12 	1.157743E+0  	-8.298174E-9 	3.473041E-3  	2.563551E-12 	2.686547E+0  	1.991177E-14 	3.632412E+2  
10  07  2014	11  50	8.688691E-12 	1.034719E+0  	-8.299068E-9 	3.262223E-3  	1.226933E-12 	1.610870E+1  	9.111215E-13 	5.117686E+0  
10  07  2014	11  55	9.180180E-12 	8.153105E-1  	-8.303262E-9 	3.013330E-3  	3.564389E-12 	1.376153E+0  	-3.111551E-13	1.647507E+1  
10  07  2014	12  00	8.039123E-12 	1.437791E+0  	-8.309198E-9 	3.225462E-3  	3.047792E-12 	1.704690E+0  	-7.771941E-13	1.140989E+1  
10  07  2014	12  05	8.162487E-12 	1.208614E+0  	-8.285944E-9 	2.718338E-3  	2.897588E-12 	1.893579E+0  	7.624287E-13 	6.831513E+0  
10  07  2014	12  10	8.101663E-12 	1.061123E+0  	-8.287878E-9 	3.079497E-3  	2.891898E-12 	2.115729E+0  	-9.145494E-14	8.226766E+1  
10  07  2014	12  15	9.751074E-12 	5.022831E-1  	-8.304882E-9 	3.122880E-3  	4.518924E-12 	9.596629E-1  	-3.240149E-13	1.865802E+1  
10  07  2014	12  20	8.505451E-12 	4.655271E-1  	-8.299188E-9 	3.203308E-3  	3.359807E-12 	1.181901E+0  	4.828255E-13 	1.378346E+1  
10  07  2014	12  25	1.013448E-11 	3.183070E-1  	-8.302036E-9 	3.182916E-3  	3.938432E-12 	9.261478E-1  	1.433586E-13 	3.720640E+1  
10  07  2014	12  30	9.790023E-12 	3.509349E-1  	-8.288564E-9 	3.345440E-3  	3.443581E-12 	2.406633E+0  	-1.383561E-12	8.060937E+0  
10  07  2014	12  35	8.391416E-12 	9.839907E-1  	-8.296681E-9 	3.220217E-3  	2.498575E-12 	2.133677E+0  	-1.712539E-13	3.309544E+1  
10  07  2014	12  40	8.968504E-12 	4.435657E-1  	-8.320247E-9 	3.161374E-3  	3.414134E-12 	1.682694E+0  	-3.260612E-13	2.045185E+1  
10  07  2014	12  45	7.921351E-12 	1.439376E+0  	-8.309609E-9 	3.182489E-3  	1.292731E-12 	1.259586E+1  	-1.562224E-14	3.800464E+2  
10  07  2014	12  50	9.108549E-12 	4.602643E-1  	-8.304791E-9 	3.724534E-3  	3.343060E-12 	1.176769E+0  	-1.119394E-12	6.059731E+0  
10  07  2014	12  55	9.280482E-12 	4.537493E-1  	-8.320523E-9 	2.621260E-3  	2.362092E-12 	5.211175E+0  	-1.211902E-12	9.532509E+0  
10  07  2014	13  00	9.441221E-12 	4.003900E-1  	-8.306276E-9 	3.109621E-3  	2.974334E-12 	2.649272E+0  	-1.136572E-13	5.805911E+1  
10  07  2014	13  05	8.778810E-12 	5.536840E-1  	-8.319616E-9 	3.503968E-3  	1.708146E-12 	7.008576E+0  	3.605632E-13 	1.434352E+1  
10  07  2014	13  10	8.986357E-12 	5.782990E-1  	-8.323779E-9 	2.896675E-3  	2.345571E-12 	5.971438E+0  	1.275638E-13 	6.764869E+1  
10  07  2014	13  15	9.801462E-12 	5.291162E-1  	-8.327172E-9 	2.983093E-3  	2.606309E-12 	2.767875E+0  	-4.938644E-13	1.434048E+1  
10  07  2014	13  20	8.790143E-12 	4.514647E-1  	-8.321791E-9 	3.188359E-3  	2.918140E-12 	1.581237E+0  	8.268177E-13 	7.058853E+0  
10  07  2014	13  25	8.984167E-12 	8.540026E-1  	-8.330421E-9 	3.144889E-3  	2.776785E-12 	3.401530E+0  	8.716045E-14 	6.398708E+1  
10  07  2014	13  30	7.800939E-12 	1.160203E+0  	-8.334425E-9 	3.320645E-3  	3.210153E-12 	2.174836E+0  	-6.005803E-13	9.027785E+0  
10  07  2014	13  35	8.354910E-12 	8.624790E-1  	-8.330939E-9 	3.431794E-3  	7.182551E-13 	1.961836E+1  	2.708233E-13 	2.599981E+1  
10  07  2014	13  40	8.600661E-12 	1.115268E+0  	-8.330152E-9 	3.022300E-3  	3.234761E-12 	1.148179E+0  	9.870090E-14 	5.970023E+1  
10  07  2014	13  45	9.222578E-12 	5.346907E-1  	-8.344259E-9 	3.457630E-3  	4.008259E-12 	9.099468E-1  	-1.612691E-12	7.288349E+0  
10  07  2014	13  50	7.939456E-12 	1.798282E+0  	-8.346480E-9 	3.147784E-3  	2.479531E-12 	2.041607E+0  	-1.435128E-12	9.346255E+0  
10  07  2014	13  55	9.397138E-12 	7.260357E-1  	-8.336247E-9 	2.986353E-3  	3.659057E-12 	1.119963E+0  	-2.703027E-14	3.337275E+2  
10  07  2014	14  00	9.575241E-12 	6.794316E-1  	-8.337794E-9 	3.286242E-3  	1.517678E-12 	8.758349E+0  	-1.719027E-12	5.841121E+0  
10  07  2014	14  05	8.134835E-12 	1.096462E+0  	-8.340096E-9 	3.206469E-3  	3.048552E-12 	1.639473E+0  	-1.190915E-13	7.199526E+1  
10  07  2014	14  10	9.419613E-12 	9.326436E-1  	-8.332029E-9 	3.178594E-3  	2.880623E-12 	2.893486E+0  	-1.451581E-12	8.755908E+0  
10  07  2014	14  15	9.211390E-12 	4.531202E-1  	-8.343447E-9 	3.212226E-3  	4.019096E-12 	1.937820E+0  	-4.381221E-13	1.361310E+1  
10  07  2014	14  20	9.151963E-12 	5.659396E-1  	-8.332855E-9 	2.621479E-3  	3.257772E-12 	1.351524E+0  	-1.906407E-13	3.002877E+1  
10  07  2014	14  25	7.687339E-12 	8.445355E-1  	-8.333394E-9 	3.386277E-3  	3.707126E-12 	1.406018E+0  	7.157902E-14 	7.421551E+1  
